,Country/Region,Lat,Long,confirm_total,death_total,recovered_total,2020,active
0,Afghanistan,33.93911,67.709953,152583,7076,132085,38928341.0,13422
1,Albania,41.1533,20.1683,139721,2478,130314,2837743.0,6929
2,Algeria,28.0339,1.6596,192089,5034,123323,43851043.0,63732
3,Andorra,42.5063,1.5218,15002,130,25177,77265.0,-10305
4,Angola,-11.2027,17.8739,46076,1163,40917,32866268.0,3996
5,Antigua and Barbuda,17.0608,-61.7964,1540,43,1239,97928.0,258
6,Argentina,-38.4161,-63.6167,5139966,110609,4615834,45376763.0,413523
7,Armenia,40.0691,45.0382,237885,4762,220438,2963234.0,12685
8,Australia,-256.85020000000003,1130.8438999999998,45754,984,48498,25687041.0,-3728
9,Austria,47.5162,14.5501,677603,10763,1275532,8917205.0,-608692
10,Azerbaijan,40.1431,47.5769,394451,5340,333705,10110116.0,55406
11,Bahrain,26.0275,50.55,271715,1387,267220,1701583.0,3108
12,Bangladesh,23.685,90.3563,1467715,25399,1141157,164689383.0,301159
13,Barbados,13.1939,-59.5432,4652,48,12315,287371.0,-7711
14,Belarus,53.7098,27.9534,470635,3691,443470,9398861.0,23474
15,Belgium,50.8333,4.469936,1168602,25341,54248,11555997.0,1089013
16,Belize,17.1899,-88.4976,15556,353,13543,397621.0,1660
17,Benin,9.3077,2.3158,12021,125,8219,12123198.0,3677
18,Bhutan,27.5142,90.4336,2585,3,2418,771612.0,164
19,Bolivia,-16.2902,-63.5887,487131,18313,411830,11673029.0,56988
20,Bosnia and Herzegovina,43.9159,17.6791,209909,9740,189710,3280815.0,10459
21,Botswana,-22.3285,24.6849,150842,2171,96964,2351625.0,51707
22,Brazil,-14.235,-51.9253,20583994,574848,17771228,212559409.0,2237918
23,Brunei,4.5353,114.7277,1873,3,280,437483.0,1590
24,Bulgaria,42.7339,25.4858,443186,18532,398721,6927288.0,25933
25,Burkina Faso,12.2383,-1.5616,13715,171,13385,20903278.0,159
26,Burundi,-3.3731,29.9189,10791,38,773,11890781.0,9980
27,Cabo Verde,16.5388,-23.0418,34773,305,33173,555988.0,1295
28,Cameroon,3.848,11.5021,82454,1338,35426,26545864.0,45690
29,Canada,708.8555999999999,-1202.5979,1481438,26780,2311845,38005238.0,-857187
30,Central African Republic,6.6111,20.9394,11270,99,6859,4829764.0,4312
31,Chad,15.4542,18.7322,4987,174,4796,16425859.0,17
