date,confirm,death,recovered,active
2020-01-22,557,17,30,510
2020-01-23,98,1,2,95
2020-01-24,286,8,7,271
2020-01-25,492,16,3,473
2020-01-26,685,14,14,657
2020-01-27,809,26,9,774
2020-01-28,2651,49,43,2559
2020-01-29,589,2,19,568
2020-01-30,2068,38,18,2012
2020-01-31,1692,42,80,1570
2020-02-01,2111,46,62,2003
2020-02-02,4749,103,189,4457
2020-02-03,3100,64,151,2885
2020-02-04,4011,66,230,3715
2020-02-05,3745,72,272,3401
2020-02-06,3160,70,363,2727
2020-02-07,3593,85,524,2984
2020-02-08,2734,87,600,2047
2020-02-09,3030,100,629,2301
2020-02-10,2609,107,702,1800
2020-02-11,2042,100,737,1205
2020-02-12,418,5,467,-54
2020-02-13,15153,253,1143,13757
2020-02-14,6527,152,1763,4612
2020-02-15,2143,143,1339,661
2020-02-16,2183,104,1470,609
2020-02-17,2035,98,1717,220
2020-02-18,1882,140,1769,-27
2020-02-19,500,115,1769,-1384
2020-02-20,560,125,2058,-1623
2020-02-21,629,4,713,-88
2020-02-22,1761,207,3997,-2443
2020-02-23,380,11,506,-137
2020-02-24,564,160,1835,-1431
2020-02-25,854,80,2678,-1904
2020-02-26,977,61,2481,-1565
2020-02-27,1360,43,2892,-1575
2020-02-28,1386,59,3432,-2105
2020-02-29,1891,69,3071,-1249
2020-03-01,2382,54,2936,-608
2020-03-02,1986,89,2884,-987
2020-03-03,2596,75,2626,-105
2020-03-04,2310,95,2942,-727
2020-03-05,2811,94,2626,91
2020-03-06,3915,112,2068,1735
2020-03-07,4094,104,2494,1496
2020-03-08,3949,240,2472,1237
2020-03-09,4173,190,1799,2184
2020-03-10,4824,274,1907,2643
2020-03-11,7667,344,2598,4725
2020-03-12,5795,307,1323,4165
2020-03-13,14380,497,1928,11955
2020-03-14,11092,420,2372,8300
2020-03-15,11275,643,3438,7194
2020-03-16,14799,678,2063,12058
2020-03-17,15962,818,2750,12394
2020-03-18,19586,913,2487,16186
2020-03-19,27095,1116,1655,24324
2020-03-20,30886,1488,2476,26922
2020-03-21,32135,1728,4263,26144
2020-03-22,35055,1692,6296,27067
2020-03-23,42771,1951,513,40307
2020-03-24,41062,2292,9712,29058
2020-03-25,51038,2823,5779,42436
2020-03-26,62953,3037,8459,51457
2020-03-27,65100,3492,8785,52823
2020-03-28,67222,3771,8511,54940
2020-03-29,59463,3494,9456,46513
2020-03-30,65282,4091,15337,45854
2020-03-31,76841,4764,13601,58476
2020-04-01,83083,6005,16865,60213
2020-04-02,83018,5895,17143,59980
2020-04-03,83758,6153,15453,62152
2020-04-04,59165,6000,20413,32752
2020-04-05,71401,5253,13901,52247
2020-04-06,73391,5939,16745,50707
2020-04-07,69869,8302,23262,38305
2020-04-08,83393,6838,28882,47673
2020-04-09,86887,7878,25351,53658
2020-04-10,85393,7421,21738,56234
2020-04-11,74314,6274,26250,41790
2020-04-12,119931,5960,19383,94588
2020-04-13,70994,6020,27883,37091
2020-04-14,84275,7081,25074,52120
2020-04-15,77602,8569,36539,32494
2020-04-16,95485,7426,31048,57011
2020-04-17,88114,8529,104585,-25000
2020-04-18,77155,6204,23866,47085
2020-04-19,76962,5357,31783,39822
2020-04-20,75550,6043,22178,47329
2020-04-21,75757,7388,34802,33567
2020-04-22,81345,7050,30085,44210
2020-04-23,84324,7010,28730,48584
2020-04-24,84173,6945,50253,26975
2020-04-25,82354,5863,27755,48736
2020-04-26,71345,4255,28812,38278
2020-04-27,70240,4984,27884,37372
2020-04-28,75680,6823,33520,35337
2020-04-29,77180,6960,42396,27824
2020-04-30,83543,6051,65338,12154
2020-05-01,88304,5479,38182,44643
2020-05-02,79089,5832,41034,32223
2020-05-03,74979,3848,32533,38598
2020-05-04,77779,4590,34086,39103
2020-05-05,80598,6117,36473,38008
2020-05-06,90161,6880,46119,37162
2020-05-07,88660,5687,39535,43438
2020-05-08,90136,5915,36413,47808
2020-05-09,85179,4603,53441,27135
2020-05-10,74832,4015,33809,37008
2020-05-11,76635,3929,46885,25821
2020-05-12,84512,5903,269775,-191166
2020-05-13,85080,5483,55872,23725
2020-05-14,96138,5568,39711,50859
2020-05-15,95803,5638,48103,42062
2020-05-16,94348,4557,56869,32922
2020-05-17,78042,3572,41037,33433
2020-05-18,89128,4157,52916,32055
2020-05-19,96815,5133,52052,39630
2020-05-20,102129,5195,64694,32240
2020-05-21,106642,5082,51220,50340
2020-05-22,106373,5682,108547,-7856
2020-05-23,104597,4306,54834,45457
2020-05-24,94192,3477,55527,35188
2020-05-25,86641,1617,68513,16511
2020-05-26,93814,4664,55152,33998
2020-05-27,102743,5395,63327,34021
2020-05-28,119133,5012,74028,40093
2020-05-29,120810,5155,77265,38390
2020-05-30,136493,4385,70450,61658
2020-05-31,106289,3160,76384,26745
2020-06-01,96006,3504,54925,37577
2020-06-02,121953,5204,104112,12637
2020-06-03,114237,5840,80315,28082
2020-06-04,130960,5427,70070,55463
2020-06-05,131214,5064,69165,56985
2020-06-06,133739,4216,72204,57319
2020-06-07,112339,3185,55109,54045
2020-06-08,102396,4167,162959,-64730
2020-06-09,125086,5213,82270,37603
2020-06-10,135122,5474,79171,50477
2020-06-11,138063,5066,85879,47118
2020-06-12,128721,4807,79720,44194
2020-06-13,135256,4461,85892,44903
2020-06-14,132243,3643,70819,57781
2020-06-15,119676,3839,80275,35562
2020-06-16,142123,7137,99660,35326
2020-06-17,143758,5559,120627,17572
2020-06-18,141089,5313,81163,54613
2020-06-19,179863,6381,94990,78492
2020-06-20,157429,4517,117651,35261
2020-06-21,127693,4599,212518,-89424
2020-06-22,139369,3737,91633,43999
2020-06-23,166851,5573,109345,51933
2020-06-24,172632,5541,115751,51340
2020-06-25,178338,5045,246272,-72979
2020-06-26,191687,5085,105980,80622
2020-06-27,178204,4793,108085,65326
2020-06-28,163933,3513,89203,71217
2020-06-29,155110,4022,94571,56517
2020-06-30,174562,5207,117340,52015
2020-07-01,217615,5319,117714,94582
2020-07-02,209953,5435,284934,-80416
2020-07-03,201376,5308,109888,86180
2020-07-04,193811,4811,197563,-8563
2020-07-05,183960,3847,121165,58948
