,Country/Region,2020,country,continent,iso_alpha,iso_num,Lat,Long
0,Mongolia,3278292.0,Mongolia,Asia,MNG,496,46.8625,103.8467
1,Burundi,11890781.0,Burundi,Africa,BDI,108,-3.3731,29.9189
2,Vietnam,97338583.0,Vietnam,Asia,VNM,704,14.058324,108.277199
3,Tanzania,59734213.0,Tanzania,Africa,TZA,834,-6.369028,34.888822
4,Thailand,69799978.0,Thailand,Asia,THA,764,15.870032,100.992541
5,Uganda,45741000.0,Uganda,Africa,UGA,800,1.373333,32.290275
6,Mozambique,31255435.0,Mozambique,Africa,MOZ,508,-18.6657,35.5296
7,Rwanda,12952209.0,Rwanda,Africa,RWA,646,-1.9403,29.8739
8,Sri Lanka,21919000.0,Sri Lanka,Asia,LKA,144,7.873054,80.771797
9,Benin,12123198.0,Benin,Africa,BEN,204,9.3077,2.3158
10,Niger,24206636.0,Niger,Africa,NER,562,17.607789,8.081666
11,Burkina Faso,20903278.0,Burkina Faso,Africa,BFA,854,12.2383,-1.5616
12,Cote d'Ivoire,26378275.0,Cote d'Ivoire,Africa,CIV,384,7.54,-5.5471
13,Guinea,13132792.0,Guinea,Africa,GIN,324,9.9456,-9.6966
14,China,1402112000.0,China,Asia,CHN,156,1079.6253,3686.4211000000005
15,Nigeria,206139587.0,Nigeria,Africa,NGA,566,9.082,8.6753
16,Togo,8278737.0,Togo,Africa,TGO,768,8.6195,0.8248
17,Angola,32866268.0,Angola,Africa,AGO,24,-11.2027,17.8739
18,New Zealand,5084300.0,New Zealand,Oceania,NZL,554,-62.137299999999996,15.108299999999986
19,Singapore,5685807.0,Singapore,Asia,SGP,702,1.2833,103.8333
20,Chad,16425859.0,Chad,Africa,TCD,148,15.4542,18.7322
21,Madagascar,27691019.0,Madagascar,Africa,MDG,450,-18.766947,46.869107
22,Botswana,2351625.0,Botswana,Africa,BWA,72,-22.3285,24.6849
23,Somalia,15893219.0,Somalia,Africa,SOM,706,5.152149,46.199616
