,Country/Region,Lat,Long,total,normal,2020
60,Grenada,12.1165,-61.679,0,0.0,112519.0
140,Seychelles,-4.6796,55.492,0,0.0,98462.0
18,Bhutan,27.5142,90.4336,0,0.0,771612.0
131,Saint Kitts and Nevis,17.357822,-62.782998,0,0.0,53192.0
144,Solomon Islands,-9.6457,160.1562,0,0.0,686878.0
119,Palau,7.515,134.5825,0,0.0,18092.0
133,Saint Vincent and the Grenadines,12.9843,-61.2872,0,0.0,110947.0
43,Dominica,15.415,-61.371,0,0.0,71991.0
134,Samoa,-13.759,-172.1046,0,0.0,198410.0
158,Timor-Leste,-8.874217,125.727539,0,0.0,1318442.0
98,Marshall Islands,7.1315,171.1845,0,0.0,59194.0
81,Kiribati,-3.3704,-168.734,0,0.0,119446.0
170,Vanuatu,-15.3767,166.9592,0,0.0,307150.0
104,Mongolia,46.8625,103.8467,3,9.151106734848513e-07,3278292.0
132,Saint Lucia,13.9094,-60.9789,160,9.569966955502225e-06,16718971.0
26,Burundi,-3.3731,29.9189,276,2.3211259209971154e-05,11890781.0
171,Vietnam,14.058324,108.277199,4908,5.042193803047246e-05,97338583.0
156,Tanzania,-6.369028,34.888822,5282,8.842503708887903e-05,59734213.0
121,Papua New Guinea,-6.314993,143.95555,966,0.00010796882584572506,8947027.0
157,Thailand,15.870032,100.992541,15561,0.00022293703301740295,69799978.0
52,Fiji,-17.7134,178.065,281,0.0003134607404366586,896444.0
164,Uganda,1.373333,32.290275,16752,0.00036623598084869157,45741000.0
107,Mozambique,-18.665695,35.529562,12401,0.00039676299497991307,31255435.0
130,Rwanda,-1.9403,29.8739,5360,0.000413829023296335,12952209.0
149,Sri Lanka,7.873054,80.771797,9248,0.00042191705825995714,21919000.0
17,Benin,9.3077,2.3158,7552,0.0006229379409624425,12123198.0
113,Niger,17.607789,8.081666,17306,0.0007149279230703515,24206636.0
25,Burkina Faso,12.2383,-1.5616,15425,0.0007379225401872376,20903278.0
